Name,Type,TypeA,Matches,Inns,Runs,BF,HS,NO,Centuries,HalfCenturies,Avg,SR,Team,
Kamran Akmal,Batsman Wicketkeeper,Batsman,34,33,929,697,107,2,2,6,29.97,133.29,Peshawar Zalmi,
Dwayne Smith,Allrounder,Allrounder,23,22,679,584,73,3,0,5,35.74,116.27,Peshawar Zalmi,
Mohammad Hafeez,Allrounder,Allrounder,33,31,670,591,77,1,0,4,22.33,113.37,Peshawar Zalmi,
Tamim Iqbal,Opening batsman,Batsman,17,17,522,467,80,4,0,4,40.15,111.78,Peshawar Zalmi,
Darren Sammy,Allrounder,Allrounder,32,26,419,265,48,9,0,0,24.65,158.11,Peshawar Zalmi,
Wahab Riaz,Bowler,Bowler,32,18,184,135,33,8,0,0,18.4,136.3,Peshawar Zalmi,
Liam Dawson,Bowler,Bowler,9,7,145,108,62,0,0,1,20.71,134.26,Peshawar Zalmi,
Dwayne Bravo,Allrounder,Allrounder,8,8,111,98,32,3,0,0,22.2,113.27,Peshawar Zalmi,
Andre Fletcher,Batsman Wicketkeeper,Batsman,5,5,86,72,34,0,0,0,17.2,119.44,Peshawar Zalmi,
Saad Nasim,Allrounder,Allrounder,8,8,83,63,35,1,0,0,11.86,131.75,Peshawar Zalmi,
Riki Wessels,Middle-order batsman,Batsman,6,6,72,73,31,1,0,0,14.4,98.63,Peshawar Zalmi,
Chris Jordan,Bowler,Bowler,11,8,64,64,36,5,0,0,21.33,100,Peshawar Zalmi,
Hasan Ali,Bowler,Bowler,23,12,57,39,15,3,0,0,6.33,146.15,Peshawar Zalmi,
Haris Sohail,Middle-order batsman,Batsman,6,6,50,70,14,1,0,0,10,71.43,Peshawar Zalmi,
Umaid Asif,Top-order batsman,Batsman,12,5,39,30,25,1,0,0,9.75,130,Peshawar Zalmi,
Hammad Azam,Middle-order batsman,Batsman,5,5,21,16,18,3,0,0,10.5,131.25,Peshawar Zalmi,
Khushdil Shah,Middle-order batsman,Batsman,4,3,13,23,8,0,0,0,4.33,56.52,Peshawar Zalmi,
Sabbir Rahman,Middle-order batsman,Batsman,2,1,11,11,11,0,0,0,11,100,Peshawar Zalmi,
Khalid Usman,Allrounder,Allrounder,2,1,7,9,7,1,0,0,-,77.78,Peshawar Zalmi,
Sameen Gul,Bowler,Bowler,8,2,3,6,2,2,0,0,-,50,Peshawar Zalmi,
Ibtisam Sheikh,Bowler,Bowler,4,2,2,6,2,1,0,0,2,33.33,Peshawar Zalmi,
Mohammad Asghar,Bowler,Bowler,21,3,1,5,1,2,0,0,1,20,Peshawar Zalmi,
Luke Ronchi,Batsman Wicketkeeper,Batsman,11,11,435,239,94,1,0,5,43.5,182.01,Islamabad United,
Misbah ul Haq,Middle-order batsman,Batsman,26,19,381,349,61,4,0,1,25.4,109.17,Islamabad United,
Asif Ali,Middle-order batsman,Batsman,22,18,293,193,45,5,0,0,22.54,151.81,Islamabad United,
Hussain Talat,Allrounder,Allrounder,14,12,268,204,56,4,0,1,33.5,131.37,Islamabad United,
Jean-Paul Duminy,Batting Allrounder,Allrounder,10,9,251,249,73,2,0,2,35.86,100.8,Islamabad United,
Sam Billings,Batsman Wicketkeeper,Batsman,10,9,167,128,78,2,0,1,23.86,130.47,Islamabad United,
Shadab Khan,Allrounder,Allrounder,20,15,131,104,42,3,0,0,10.92,125.96,Islamabad United,
Fahim Ashraf,Bowling allrounder,Allrounder,12,8,111,85,54,4,0,1,27.75,130.59,Islamabad United,
Andre Russell,Allrounder,Allrounder,14,12,110,92,35,2,0,0,11,119.57,Islamabad United,
Sahibzada Farhan,Middle-order batsman,Batsman,6,5,91,78,44,1,0,0,22.75,116.67,Islamabad United,
Alex Hales,Opening batsman,Batsman,4,4,87,65,46,0,0,0,21.75,133.85,Islamabad United,
Chadwick Walton,Batsman Wicketkeeper,Batsman,5,5,68,55,28,0,0,0,13.6,123.64,Islamabad United,
Samit Patel,Allrounder,Allrounder,9,4,56,54,23,1,0,0,18.67,103.7,Islamabad United,
Iftikhar Ahmed,Middle-order batsman,Batsman,8,7,51,74,19,1,0,0,8.5,68.92,Islamabad United,
Amad Butt,Allrounder,Allrounder,9,4,38,39,17,2,0,0,19,97.44,Islamabad United,
Mohammad Sami,Bowler,Bowler,27,9,31,26,20,5,0,0,7.75,119.23,Islamabad United,
Rumman Raees,Bowler,Bowler,18,4,17,24,11,2,0,0,8.5,70.83,Islamabad United,
Zafar Gohar,Bowler,Bowler,8,3,4,11,3,1,0,0,2,36.36,Islamabad United,
Samuel Badree,Bowler,Bowler,7,1,2,2,2,1,0,0,,100,Islamabad United,
Steven Finn,Bowler,Bowler,5,1,0,1,0,0,0,0,0,0,Islamabad United,
Shane Watson,Allrounder,Allrounder,25,25,684,526,90,2,0,3,29.74,130.04,Quetta Gladiators,
Kevin Pietersen,Top-order batsman,Batsman,27,26,611,439,88,3,0,4,26.57,139.18,Quetta Gladiators,
Sarfraz Ahmed,Batsman Wicketkeeper,Batsman,31,27,574,457,56,8,0,2,30.21,125.6,Quetta Gladiators,
